DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,NumeroDeSolicitudes,NumeroDePredios,NumeroDeTitulares
Bolívar,Morales,13473,251,246,245
Valle Del Cauca,Ulloa,76845,8,3,7
Valle Del Cauca,Versalles,76863,18,17,16
Valle Del Cauca,Vijes,76869,18,17,17
Valle Del Cauca,Yotoco,76890,19,19,17
Antioquia,Nechí,5495,432,417,398
Valle Del Cauca,Zarzal,76895,26,26,23
Valle Del Cauca,Dagua,76233,360,346,303
Vaupés,Pacoa,97511,13,13,13
Vaupés,Taraira,97666,2,2,2
Vaupés,Yavaraté,97889,1,1,1
Huila,La Plata,41396,126,123,117
Norte Santander,Convención,54206,139,133,120
Bolívar,Turbaná,13838,50,46,36
Santander,Simacota,68745,324,315,276
Cauca,Buenos Aires,19110,210,202,198
Bolívar,Arenal,13042,145,140,140
Nariño,El Tablón De Gómez,52258,1341,1328,1182
Santander,La Belleza,68377,21,20,21
Cauca,Suárez,19780,139,137,132
Bogotá D.C.,Bogotá,11001,419,388,375
Nariño,Tangua,52788,220,204,181
Chocó,Riosucio,27615,1582,1437,1374
Antioquia,San Pedro de Urabá,5665,479,443,382
La Guajira,Distracción,44098,65,58,55
Cauca,Patía,19532,306,293,287
Arauca,Saravena,81736,215,207,182
Meta,Puerto Gaitán,50568,708,628,583
Meta,Mesetas,50330,579,545,506
Antioquia,San Andrés,5647,76,61,66
Nariño,Cumbitara,52233,249,238,216
Antioquia,Anorí,5040,143,134,128
Norte Santander,Cúcuta,54001,774,742,674
Bolívar,Norosí,13490,38,36,37
Norte Santander,La Esperanza,54385,171,152,140
Casanare,Villanueva,85440,45,44,35
Cesar,Becerril,20045,613,502,555
Santander,Barrancabermeja,68081,890,868,785
Antioquia,San Vicente,5674,24,23,23
Antioquia,Remedios,5604,278,272,215
Cundinamarca,San Juan De Río Seco,25662,56,53,43
Cauca,Paez,19517,172,166,160
Antioquia,Ituango,5361,412,370,354
Meta,Puerto Lleras,50577,461,404,392
Nariño,Ipiales,52356,291,282,254
Santander,Charta,68169,23,20,22
Tolima,Líbano,73411,512,462,427
Cesar,Chiriguaná,20178,276,230,252
Tolima,Lérida,73408,208,196,173
Antioquia,Vegachí,5858,122,104,103
Cauca,Puracé,19585,101,100,84
Sucre,Palmito,70523,15,13,15
Antioquia,Tarso,5792,18,12,17
La Guajira,Hatonuevo,44378,24,24,23
Cauca,Timbío,19807,215,183,201
Bolívar,San Pablo,13670,391,367,336
La Guajira,Barrancas,44078,157,152,150
Meta,Puerto Rico,50590,794,739,726
Cundinamarca,Villa De San Diego De Ubaté,25843,4,4,4
Cauca,Santa Rosa,19701,434,416,398
Antioquia,San Francisco,5652,237,223,212
Cauca,Piamonte,19533,493,483,469
Arauca,Fortul,81300,74,72,71
Huila,Algeciras,41020,274,255,257
Santander,Suaita,68770,20,20,19
Cauca,Bolívar,19100,359,349,299
Santander,Capitanejo,68147,11,10,11
Huila,Pital,41548,4,4,4
Guainía,Inírida,94001,24,24,24
Cundinamarca,Paratebueno,25530,56,51,46
Caquetá,San José Del Fragua,18610,256,243,244
Chocó,Carmen del Darién,27150,133,122,111
Cesar,Agustín Codazzi,20013,763,618,638
Nariño,Olaya Herrera,52490,113,106,102
Guainía,Barranco Minas,94343,56,54,54
Antioquia,Briceño,5107,109,104,105
Caldas,Pensilvania,17541,515,490,440
Huila,Iquira,41357,82,79,78
Sucre,Galeras,70235,148,145,139
Sucre,San Pedro,70717,120,115,110
Caquetá,Milán,18460,229,219,207
Antioquia,Pueblorrico,5576,20,20,18
Meta,El Dorado,50270,270,213,230
Caquetá,Solano,18756,277,262,264
Bolívar,San Jacinto,13654,1274,1146,1075
Meta,Lejanías,50400,185,169,174
Valle Del Cauca,Tuluá,76834,609,517,518
Boyacá,Puerto Boyacá,15572,96,95,82
Antioquia,San Juan De Urabá,5659,39,38,35
Tolima,Mariquita,73443,62,61,59
Norte Santander,El Tarra,54250,211,196,193
Santander,Puerto Parra,68573,199,189,183
Santander,Puerto Wilches,68575,297,283,272
Córdoba,Cereté,23162,16,15,14
Córdoba,San Carlos,23678,9,9,8
Huila,Neiva,41001,249,240,232
Santander,Guaca,68318,14,14,12
Córdoba,Puerto Escondido,23574,43,35,35
Boyacá,Labranzagrande,15377,56,56,51
Huila,Colombia,41206,127,122,118
Arauca,Puerto Rondón,81591,79,75,75
Huila,Tello,41799,102,94,99
Nariño,Ricaurte,52612,147,130,113
Huila,Campoalegre,41132,61,55,56
Huila,Garzón,41298,118,99,108
Magdalena,Santa Marta,47001,701,639,648
Casanare,Paz De Ariporo,85250,124,114,115
Chocó,Nóvita,27491,58,56,51
Nariño,Samaniego,52678,127,120,113
Huila,Aipe,41016,35,35,34
Chocó,San José Del Palmar,27660,212,202,181
Antioquia,Zaragoza,5895,272,268,234
Caldas,Aranzazu,17050,10,10,8
Nariño,Santacruz,52699,100,90,83
Bolívar,San Jacinto Del Cauca,13655,63,59,57
Antioquia,Tarazá,5790,666,637,629
Valle Del Cauca,Calima,76126,130,111,124
Magdalena,Pivijay,47551,835,584,768
Valle Del Cauca,Trujillo,76828,380,352,317
Sucre,San Onofre,70713,398,366,345
Meta,La Macarena,50350,624,610,574
Putumayo,Villa Garzón,86885,777,749,695
Norte Santander,El Zulia,54261,257,235,212
Norte Santander,Chitagá,54174,67,64,52
Huila,Baraya,41078,258,248,224
Cauca,Popayán,19001,489,467,468
Córdoba,Pueblo Nuevo,23570,376,353,314
Cauca,San Sebastián,19693,78,65,75
Guaviare,Miraflores,95200,886,859,789
Casanare,Hato Corozal,85125,158,147,146
Magdalena,El Piñon,47258,181,181,160
Santander,San Vicente De Chucurí,68689,408,391,364
Antioquia,Toledo,5819,34,34,31
Magdalena,Zona Bananera,47980,540,350,513
Guaviare,El Retorno,95025,289,277,260
Antioquia,Yarumal,5887,109,101,93
La Guajira,Fonseca,44279,51,49,49
Guainía,Cacahual,94886,1,1,1
Sucre,Coloso,70204,272,215,238
Caldas,Manizales,17001,55,54,52
Magdalena,Sabanas de San Ángel,47660,548,499,490
Amazonas,Puerto Alegría,91530,7,7,6
Nariño,El Rosario,52256,469,459,406
Santander,Bolívar,68101,117,116,103
Caquetá,Albania,18029,45,45,44
Magdalena,Algarrobo,47030,42,42,38
Caldas,Samaná,17662,1237,1099,1098
Cundinamarca,Viotá,25878,165,157,146
Córdoba,Planeta Rica,23555,60,58,48
Cesar,La Jagua De Ibirico,20400,689,616,609
Nariño,Santa Bárbara,52696,463,435,415
Caquetá,Florencia,18001,703,654,619
Sucre,Chalán,70230,165,112,150
Putumayo,Puerto Asís,86568,1094,1057,1029
Cauca,Morales,19473,468,463,463
Chocó,Medio Atrato,27425,51,42,43
Magdalena,Ciénaga,47189,992,858,905
Meta,Uribe,50370,568,530,504
Huila,Oporapa,41503,19,18,19
Putumayo,Puerto Guzmán,86571,1638,1575,1538
Vaupés,Carurú,97161,62,62,58
Risaralda,Pueblo Rico,66572,362,330,294
Casanare,Yopal,85001,187,169,179
Chocó,Alto Baudó,27025,32,31,32
Antioquia,Yondó,5893,310,295,269
Nariño,Pasto,52001,504,462,412
Bolívar,Zambrano,13894,409,385,354
Antioquia,Dabeiba,5234,647,556,534
Antioquia,Retiro,5607,18,18,15
Cesar,Curumaní,20228,443,391,394
Valle Del Cauca,Buenaventura,76109,1119,1065,918
Santander,Landázuri,68385,156,150,140
Antioquia,Frontino,5284,200,166,179
Cundinamarca,El Peñón,25258,78,78,67
Cauca,Almaguer,19022,119,110,107
Antioquia,San Carlos,5649,2031,1935,1673
Nariño,Leiva,52405,165,161,152
Antioquia,Argelia,5055,444,358,382
Bolívar,Simití,13744,254,231,202
Chocó,Bojayá,27099,76,73,71
Sucre,Sincelejo,70001,90,75,89
Bolívar,Cantagallo,13160,137,127,123
Arauca,Tame,81794,586,556,527
Antioquia,San Rafael,5667,297,260,249
Atlántico,Tubará,8832,78,60,71
Cundinamarca,La Palma,25394,1028,892,782
Boyacá,Maripí,15442,12,8,7
Sucre,Sucre,70771,69,69,61
Magdalena,Nueva Granada,47460,33,29,29
Cauca,Balboa,19075,175,168,165
Cundinamarca,El Colegio,25245,11,11,8
Meta,El Castillo,50251,586,489,506
Arauca,Arauca,81001,173,162,163
Santander,Cimitarra,68190,453,432,391
Bolívar,Villanueva,13873,126,113,111
Guainía,Mapiripana,94663,19,16,15
Cauca,La Sierra,19392,113,103,109
Vichada,Santa Rosalía,99624,61,60,52
Valle Del Cauca,Bolívar,76100,346,334,309
Meta,San Juan De Arama,50683,233,217,212
Atlántico,Malambo,8433,13,13,12
Sucre,Ovejas,70508,1061,827,962
Huila,Nátaga,41483,50,35,47
Boyacá,Páez,15514,87,80,80
La Guajira,Albania,44035,30,29,28
Cauca,Caldono,19137,75,70,69
Cauca,Mercaderes,19450,218,216,208
Guaviare,Calamar,95015,217,212,198
Huila,Isnos,41359,82,76,77
Cundinamarca,Chaguaní,25168,93,91,54
Nariño,Buesaco,52110,93,92,81
Bolívar,Calamar,13140,130,116,124
Bolívar,San Juan Nepomuceno,13657,664,632,573
Amazonas,Leticia,91001,9,9,9
Boyacá,Paya,15533,41,38,38
Sucre,San Benito Abad,70678,112,92,94
Tolima,Prado,73563,166,160,145
Antioquia,Ciudad Bolívar,5101,62,61,46
La Guajira,San Juan Del Cesar,44650,81,78,76
Cesar,Pailitas,20517,440,400,373
Bolívar,Mompós,13468,18,18,17
Cundinamarca,Yacopí,25885,358,328,297
Norte Santander,Teorama,54800,114,105,100
Quindío,Pijao,63548,10,10,10
Antioquia,El Bagre,5250,1012,966,936
Arauca,Cravo Norte,81220,90,88,75
Nariño,Albán,52019,225,224,187
Nariño,Francisco Pizarro,52520,55,46,43
Nariño,Barbacoas,52079,326,308,286
Cesar,Valledupar,20001,1402,1226,1229
Córdoba,Valencia,23855,1153,1056,1026
